População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,1970,1980,1991,2000,
AL,2706604,Paulo Jacinto,3005,2806,1741.2280448,2261.95511179,
AL,2706703,Penedo,8336,9741,16369.07451942,19423.21583698,
AL,2706802,Piaçabuçu,3243,3398,5094.9800296,5508.98227523,
AL,2706901,Pilar,4831,6944,9799.75603069,10573.73175334,
AL,2707008,Pindoba,2261,1580,1146.1067048,1391.05871228,
AL,2707107,Piranhas,1419,1485,5036.74517709,6979.29171369,
AL,2707206,Poço das Trincheiras,3203,3800,4478.17275718,6357.49750124,
AL,2707305,Porto Calvo,4980,6453,7536.98181301,7402.47851407,
AL,2707404,Porto de Pedras,2911,2982,2691.14869648,2880.01940049,
AL,2707503,Porto Real do Colégio,4913,5124,5450.74123594,5605.16262808,
AL,2707602,Quebrangulo,4727,3593,3117.83438024,4551.79637238,
AL,2707701,Rio Largo,9121,11764,16868.33190185,22623.28898473,
AL,2707800,Roteiro,523,1909,2665.48683196,2338.91709989,
AL,2707909,Santa Luzia do Norte,686,885,1978.73596013,2430.98815371,
AL,2708006,Santana do Ipanema,10169,13445,12618.12154015,16108.04215341,
AL,2708105,Santana do Mundaú,4334,3616,3495.5448801,3887.36532833,
AL,2708204,São Brás,2359,2424,1853.97059169,2181.28391073,
AL,2708303,São José da Laje,8953,7212,7516.10156373,6267.40634046,
AL,2708402,São José da Tapera,6153,7405,8490.88739627,10656.96599834,
AL,2708501,São Luís do Quitunde,5114,7894,10382.45534006,9411.54520561,
AL,2708600,São Miguel dos Campos,10448,12514,17036.92618102,18118.95634656,
AL,2708709,São Miguel dos Milagres,983,1352,1424.34232047,2100.21500751,
AL,2708808,São Sebastião,4374,5914,7714.56641543,11289.44850827,
AL,2708907,Satuba,1318,1474,3005.73375738,4602.53889888,
AL,2708956,Senador Rui Palmeira,,,2940.97246973,5132.70281763,
AL,2709004,Tanque d'Arca,1554,1952,2734.88643745,2082.87232368,
AL,2709103,Taquarana,3460,3904,4813.83529309,6739.16098042,
AL,2709152,Teotônio Vilela,,,9092.09644175,12050.78606795,
AL,2709202,Traipu,5075,5749,6382.90826468,8905.70525707,
AL,2709301,União dos Palmares,15214,17467,20697.11740774,19877.35242754,
AL,2709400,Viçosa,7620,8428,6976.61102945,9405.58233321,
AM,1300029,Alvarães,,,2745.02671601,4598.90404657,
AM,1300060,Amaturá,,,833.56973542,2124.0496073,
AM,1300086,Anamã,,,1841.56635195,2091.11840821,
AM,1300102,Anori,3966,3964,2121.72622795,4006.68625975,
AM,1300144,Apuí,,,2071.62901361,6293.79189834,
AM,1300201,Atalaia do Norte,2107,2686,2143.63918495,2858.3752751,
AM,1300300,Autazes,4832,4640,4349.90212946,7337.74772375,
AM,1300409,Barcelos,2818,2876,3844.37631387,6681.57648965,
AM,1300508,Barreirinha,3727,4143,4887.30643223,6974.22125216,
AM,1300607,Benjamin Constant,4579,6870,5265.53585453,6557.1052731,
AM,1300631,Beruri,,,2146.90370082,3465.46712302,
AM,1300680,Boa Vista do Ramos,,,2020.96062443,3819.41129106,
AM,1300706,Boca do Acre,5851,6236,8002.31371255,10398.70131143,
AM,1300805,Borba,4769,6633,4714.27147749,7243.15100196,
AM,1300839,Caapiranga,,,1510.59633364,4217.04378784,
AM,1300904,Canutama,1537,1763,2394.19109097,2571.10161255,
AM,1301001,Carauari,4902,4700,4596.93457697,6048.14809757,
AM,1301100,Careiro,11354,11217,7665.99919745,7506.1158191,
AM,1301159,Careiro da Várzea,,,4812.75550204,5750.02458075,
AM,1301209,Coari,7984,11360,13573.05650068,24185.0297066601,
AM,1301308,Codajás,3197,3013,2469.63796607,6085.20186464,
AM,1301407,Eirunepé,2680,3682,4398.43260166,8571.68225089,
AM,1301506,Envira,3048,3801,3080.3415263,3360.17926637,
AM,1301605,Fonte Boa,2978,5273,4736.0353126,11992.12679457,
AM,1301654,Guajará,,,3538.82222199,2867.29891078,
AM,1301704,Humaitá,3982,6889,12876.12581773,11177.5984596,
AM,1301803,Ipixuna,3146,5159,2114.82253676,3826.70861548,
AM,1301852,Iranduba,,,6005.02032408,10604.64962828,
AM,1301902,Itacoatiara,9279,12152,17564.72420363,27293.01968431,
AM,1301951,Itamarati,,,2511.89310097,3156.29495177,
AM,1302009,Itapiranga,691,1618,1397.96692022,2953.90973252,
AM,1302108,Japurá,698,495,2783.6298858,2686.60018019,
AM,1302207,Juruá,2063,1735,1223.72475692,2329.96233486,
AM,1302306,Jutaí,1550,3061,3728.39974874,5800.30152112,
AM,1302405,Lábrea,4852,5980,7336.66114461,9827.42413806,
AM,1302504,Manacapuru,13544,16933,16991.93517678,26877.1183514401,
AM,1302553,Manaquiri,,,1742.96500075,5085.56019386,
AM,1302603,Manaus,86852,219411,384009.03345512,614420.942882763,
AM,1302702,Manicoré,6925,9169,10768.67382109,13365.71227827,
AM,1302801,Maraã,2553,3122,3094.96679514,5075.43992624,
AM,1302900,Maués,6560,8034,8661.22102526,14612.26688623,
