Renda per capita média
Sigla,Código,Município,1991,2000,2010,
AL,2708600,São Miguel dos Campos,181,266.49,360.82,
AL,2708709,São Miguel dos Milagres,103.23,160.08,237.78,
AL,2708808,São Sebastião,96.55,139.48,225.84,
AL,2708907,Satuba,196.95,253.41,377.42,
AL,2708956,Senador Rui Palmeira,71.45,79.05,159.61,
AL,2709004,Tanque d'Arca,94.61,130.62,217.85,
AL,2709103,Taquarana,99.05,125.15,215.16,
AL,2709152,Teotônio Vilela,126.33,166.55,244.39,
AL,2709202,Traipu,56.87,83.2,178.79,
AL,2709301,União dos Palmares,142.26,183.75,313.92,
AL,2709400,Viçosa,133.49,185.4,251.25,
AM,1300029,Alvarães,165.64,184.29,178.67,
AM,1300060,Amaturá,112.32,120.37,178.69,
AM,1300086,Anamã,184.6,196.17,226.82,
AM,1300102,Anori,168.24,181.92,229.94,
AM,1300144,Apuí,233.59,254.78,380.62,
AM,1300201,Atalaia do Norte,95.57,147.86,159.21,
AM,1300300,Autazes,187.62,173.53,228.43,
AM,1300409,Barcelos,200.7,217.27,237.29,
AM,1300508,Barreirinha,122.12,121.34,148.28,
AM,1300607,Benjamin Constant,98.76,141.53,211.1,
AM,1300631,Beruri,109.23,135.76,193.4,
AM,1300680,Boa Vista do Ramos,127.87,106.61,175.55,
AM,1300706,Boca do Acre,162.27,191.39,288.42,
AM,1300805,Borba,169.55,191.74,219.83,
AM,1300839,Caapiranga,160.79,150.83,235.49,
AM,1300904,Canutama,130.91,125.27,206.44,
AM,1301001,Carauari,144.53,160.01,222.32,
AM,1301100,Careiro,110.51,145.34,197.06,
AM,1301159,Careiro da Várzea,170.78,164.23,207.18,
AM,1301209,Coari,146.23,159.29,347.2,
AM,1301308,Codajás,229.61,234.31,239.64,
AM,1301407,Eirunepé,104.7,138.2,241.86,
AM,1301506,Envira,106.65,102.25,204.98,
AM,1301605,Fonte Boa,133.72,161.97,200.4,
AM,1301654,Guajará,109.08,142.25,191.04,
AM,1301704,Humaitá,163.4,269.39,382.13,
AM,1301803,Ipixuna,80.34,81.81,154.54,
AM,1301852,Iranduba,204.44,226.53,349.23,
AM,1301902,Itacoatiara,218.63,235.91,373.71,
AM,1301951,Itamarati,165.89,187.55,214.95,
AM,1302009,Itapiranga,174.46,144.72,321.94,
AM,1302108,Japurá,160.66,197.57,248.6,
AM,1302207,Juruá,110.28,158.18,227.39,
AM,1302306,Jutaí,122.27,119.48,214.36,
AM,1302405,Lábrea,151.9,136.22,227.62,
AM,1302504,Manacapuru,187.64,199.66,342.58,
AM,1302553,Manaquiri,191.32,234.85,254.15,
AM,1302603,Manaus,537.29,531.53,790.27,
AM,1302702,Manicoré,167.99,140.08,295.23,
AM,1302801,Maraã,127.09,108.66,144.99,
AM,1302900,Maués,153.52,191.31,244.3,
AM,1303007,Nhamundá,136.69,136.82,195.12,
AM,1303106,Nova Olinda do Norte,181.11,203.68,232.07,
AM,1303205,Novo Airão,146.24,190.48,246.44,
AM,1303304,Novo Aripuanã,194.68,206.15,219.69,
AM,1303403,Parintins,203.36,184.11,313.07,
AM,1303502,Pauini,182.72,198.75,218.21,
AM,1303536,Presidente Figueiredo,379.79,387.62,396.51,
AM,1303569,Rio Preto da Eva,225.09,213.85,315.24,
AM,1303601,Santa Isabel do Rio Negro,98.89,106.81,141.04,
AM,1303700,Santo Antônio do Içá,68.96,90.43,122.21,
AM,1303809,São Gabriel da Cachoeira,237.56,213.37,355.51,
AM,1303908,São Paulo de Olivença,73.64,102.57,150.28,
AM,1303957,São Sebastião do Uatumã,87.92,147.69,262.79,
AM,1304005,Silves,215.44,226.09,238.53,
AM,1304062,Tabatinga,186.06,279.82,338.4,
AM,1304104,Tapauá,83.86,95.65,193.97,
AM,1304203,Tefé,190.81,236.73,421.41,
AM,1304237,Tonantins,103.68,112.67,189.15,
AM,1304260,Uarini,103.53,148.94,223.11,
AM,1304302,Urucará,204.23,289.82,246.99,
AM,1304401,Urucurituba,82.23,126.6,227.55,
AP,1600055,Serra do Navio,292.45,278.6,484.63,
AP,1600105,Amapá,223.63,273.32,406.9,
AP,1600154,Pedra Branca do Amaparí,109.46,181.08,397.98,
AP,1600204,Calçoene,264.85,240,417.71,
AP,1600212,Cutias,125.22,150.14,287.41,
AP,1600238,Ferreira Gomes,171.07,220.69,416.72,
AP,1600253,Itaubal,184.83,175.36,213.26,
AP,1600279,Laranjal do Jari,331.72,321.34,432.92,
AP,1600303,Macapá,464.14,506.43,717.88,
AP,1600402,Mazagão,162.67,173.83,353.61,
AP,1600501,Oiapoque,333.21,526.35,598.38,
AP,1600535,Porto Grande,273.29,336.12,356.65,
AP,1600550,Pracuúba,84.07,180.57,228.81,
AP,1600600,Santana,287.03,328.83,469.24,
AP,1600709,Tartarugalzinho,202.56,175.88,250.2,
AP,1600808,Vitória do Jari,174.35,222,309.39,
BA,2900108,Abaíra,136.5,204.01,290.53,
BA,2900207,Abaré,143.36,166.97,220.16,
BA,2900306,Acajutiba,124.44,155.56,260.46,
BA,2900355,Adustina,112.28,171.39,211.37,
BA,2900405,Água Fria,73.95,113.81,215.12,
BA,2900504,Érico Cardoso,98.21,146.51,258.28,
BA,2900603,Aiquara,134.02,185.75,283.24,
BA,2900702,Alagoinhas,274.52,363.32,553.17,
BA,2900801,Alcobaça,139.33,234.96,357.99,
BA,2900900,Almadina,81.41,165.85,265.39,
BA,2901007,Amargosa,151.7,248.64,369.84,
BA,2901106,Amélia Rodrigues,161.36,248.2,354.66,
BA,2901155,América Dourada,113.88,134.24,186.1,
BA,2901205,Anagé,87.62,116.86,243.52,
BA,2901304,Andaraí,141.95,166.27,230.36,
BA,2901353,Andorinha,106.7,150.09,305.81,
BA,2901403,Angical,117.98,141.71,266.89,
BA,2901502,Anguera,87.4,137.73,269,
BA,2901601,Antas,134.92,200.31,283.59,
BA,2901700,Antônio Cardoso,69.76,151.88,236.86,
BA,2901809,Antônio Gonçalves,94.94,147,295.7,
BA,2901908,Aporá,105.45,141.06,199.04,
BA,2901957,Apuarema,99.74,136.25,252.3,
BA,2902005,Aracatu,72.75,134.64,316.6,
BA,2902054,Araças,100.62,122.88,230.75,
BA,2902104,Araci,80.04,116.99,221.98,
BA,2902203,Aramari,111.52,198.28,274.61,
BA,2902252,Arataca,102.93,142.33,256.14,
BA,2902302,Aratuípe,121.08,164.95,278.23,
BA,2902401,Aurelino Leal,100.11,123.46,253.19,
BA,2902500,Baianópolis,88.78,148.44,235.05,
BA,2902609,Baixa Grande,81.05,148.57,243.98,
BA,2902658,Banzaê,102.33,131.94,228.54,
BA,2902708,Barra,86.78,114.46,183.03,
BA,2902807,Barra da Estiva,116.55,186.71,270.66,
BA,2902906,Barra do Choça,129.95,140.4,266.13,
BA,2903003,Barra do Mendes,125.55,174.25,292.41,
BA,2903102,Barra do Rocha,90.64,162.51,304.56,
BA,2903201,Barreiras,305.76,432.93,602.82,
BA,2903235,Barro Alto,107.8,151.5,247.32,
BA,2903276,Barrocas,96.96,163,284.41,
BA,2903300,Governador Lomanto Júnior,68.77,167.44,287.6,
BA,2903409,Belmonte,143.84,231.77,289.9,
BA,2903508,Belo Campo,126.25,198.83,263.52,
BA,2903607,Biritinga,107.92,159.21,209.37,
BA,2903706,Boa Nova,87.73,105.38,223.48,
BA,2903805,Boa Vista do Tupim,77.42,120.13,195.71,
BA,2903904,Bom Jesus da Lapa,171.18,247.5,367.62,
BA,2903953,Bom Jesus da Serra,97.03,96.01,223.19,
BA,2904001,Boninal,108.12,157.73,267.7,
BA,2904050,Bonito,128.91,149.09,249,
BA,2904100,Boquira,99.29,160.09,266.71,
BA,2904209,Botuporã,72.76,96.93,235.16,
BA,2904308,Brejões,119.96,203.07,261.14,
BA,2904407,Brejolândia,99.56,126.81,221.22,
BA,2904506,Brotas de Macaúbas,96.93,124.8,247.49,
BA,2904605,Brumado,277.65,269.09,403.22,
BA,2904704,Buerarema,129.31,175.14,343.23,
BA,2904753,Buritirama,70.26,82.03,184.53,
BA,2904803,Caatiba,142.55,131.52,293.78,
BA,2904852,Cabaceiras do Paraguaçu,72.51,133.14,209.45,
BA,2904902,Cachoeira,159.84,239.23,368.11,
BA,2905008,Caculé,126.19,299.03,382.15,
BA,2905107,Caém,83.12,121.08,223.48,
BA,2905156,Caetanos,84.29,129.49,224.38,
BA,2905206,Caetité,132.22,205.7,405.31,
