Percentual da população de menos de 15 anos e da população de 65 anos e mais em relação à população de 15 a 64 anos
Sigla,Código,Município,1991,2000,2010,
AL,2708501,São Luís do Quitunde,84.79,78.63,64.73,
AL,2708600,São Miguel dos Campos,81.41,62.64,52.82,
AL,2708709,São Miguel dos Milagres,93.25,67.76,57.15,
AL,2708808,São Sebastião,93.94,76.54,61.02,
AL,2708907,Satuba,71.37,59.14,46.12,
AL,2708956,Senador Rui Palmeira,103.66,95.64,74.26,
AL,2709004,Tanque d'Arca,93.12,73.21,56.89,
AL,2709103,Taquarana,95.18,74.12,59.9,
AL,2709152,Teotônio Vilela,96.54,76.2,63.35,
AL,2709202,Traipu,96.87,80.16,69.28,
AL,2709301,União dos Palmares,87.91,73.25,60,
AL,2709400,Viçosa,89.98,71.18,57.55,
AM,1300029,Alvarães,107.91,106.87,91.67,
AM,1300060,Amaturá,114.68,95.54,74.76,
AM,1300086,Anamã,110.63,93.77,74.76,
AM,1300102,Anori,109.7,90.96,74.03,
AM,1300144,Apuí,88.43,74.15,51.3,
AM,1300201,Atalaia do Norte,107.83,100.9,72.92,
AM,1300300,Autazes,111.46,94.87,80.29,
AM,1300409,Barcelos,87.89,84.82,61.28,
AM,1300508,Barreirinha,109.47,106.45,94.49,
AM,1300607,Benjamin Constant,103.29,91.2,81.57,
AM,1300631,Beruri,119.74,105.58,94.16,
AM,1300680,Boa Vista do Ramos,124.27,100.8,83.5,
AM,1300706,Boca do Acre,102.29,82.84,69.58,
AM,1300805,Borba,119.32,104.51,79.27,
AM,1300839,Caapiranga,111.09,88.54,73.19,
AM,1300904,Canutama,125.33,83.54,59.59,
AM,1301001,Carauari,121.82,100.71,81.66,
AM,1301100,Careiro,125.5,77.23,68.04,
AM,1301159,Careiro da Várzea,89.2,75.1,62.49,
AM,1301209,Coari,106.98,91.86,68.5,
AM,1301308,Codajás,116.12,94.78,70.28,
AM,1301407,Eirunepé,118.58,98.08,79.67,
AM,1301506,Envira,125.11,98.45,82.08,
AM,1301605,Fonte Boa,111.4,96.83,80.4,
AM,1301654,Guajará,117.77,109.9,82.74,
AM,1301704,Humaitá,104.39,88.43,66.1,
AM,1301803,Ipixuna,123.87,113.51,91.7,
AM,1301852,Iranduba,99.08,76.53,70.25,
AM,1301902,Itacoatiara,96.77,80.36,68.47,
AM,1301951,Itamarati,133.43,112.49,81.16,
AM,1302009,Itapiranga,101.45,87.41,71.05,
AM,1302108,Japurá,94.78,83.07,77.78,
AM,1302207,Juruá,123.73,102.4,83.71,
AM,1302306,Jutaí,115.33,120.8,95.88,
AM,1302405,Lábrea,115,91.7,73.3,
AM,1302504,Manacapuru,107.67,84.97,71.65,
AM,1302553,Manaquiri,92.8,82.45,73.52,
AM,1302603,Manaus,68.6,57.39,47.41,
AM,1302702,Manicoré,109.63,92,71.63,
AM,1302801,Maraã,133.91,96.17,83.01,
AM,1302900,Maués,110.96,99.01,82.46,
AM,1303007,Nhamundá,118.68,96.99,74.35,
AM,1303106,Nova Olinda do Norte,122.15,100.13,72.89,
AM,1303205,Novo Airão,94.8,88.31,68.78,
AM,1303304,Novo Aripuanã,108.16,98.87,70.09,
AM,1303403,Parintins,105.38,87.67,73.62,
AM,1303502,Pauini,86.09,93.2,81.32,
AM,1303536,Presidente Figueiredo,76.17,67.44,60.76,
AM,1303569,Rio Preto da Eva,88.68,72.14,58.28,
AM,1303601,Santa Isabel do Rio Negro,84.77,89.27,92.7,
AM,1303700,Santo Antônio do Içá,106.5,109.2,84.71,
AM,1303809,São Gabriel da Cachoeira,84.59,78.3,74.34,
AM,1303908,São Paulo de Olivença,111.05,103.03,81.71,
AM,1303957,São Sebastião do Uatumã,121.31,97.74,76.5,
AM,1304005,Silves,114.08,96.1,78.77,
AM,1304062,Tabatinga,95.98,85.9,72.87,
AM,1304104,Tapauá,119.51,109.92,75.8,
AM,1304203,Tefé,113.56,87.88,75.27,
AM,1304237,Tonantins,110.4,107.49,82.87,
AM,1304260,Uarini,119.89,104.02,84.85,
AM,1304302,Urucará,106.19,92.44,80.49,
AM,1304401,Urucurituba,117.7,102.78,75.35,
AP,1600055,Serra do Navio,103.21,78.58,65.47,
AP,1600105,Amapá,111.39,87.74,67.91,
AP,1600154,Pedra Branca do Amaparí,118.4,86.12,69,
AP,1600204,Calçoene,105.11,81.99,69.52,
AP,1600212,Cutias,115.74,97.71,76.87,
AP,1600238,Ferreira Gomes,115.96,89.27,70.67,
AP,1600253,Itaubal,135.72,96.74,77.56,
AP,1600279,Laranjal do Jari,90.5,75.52,62.84,
AP,1600303,Macapá,84.63,66.82,53.07,
AP,1600402,Mazagão,117.77,99.04,83.49,
AP,1600501,Oiapoque,92.78,82.74,63.17,
AP,1600535,Porto Grande,105.52,77.32,66.61,
AP,1600550,Pracuúba,124.83,96.73,87.31,
AP,1600600,Santana,101.96,77.05,57.96,
AP,1600709,Tartarugalzinho,121.49,104.39,80.48,
AP,1600808,Vitória do Jari,108.25,93.8,69.36,
